Código;Estrutura Completa
410105;EXAMES RADIOLÓGICOS E DIAGNÓSTICOS POR IMAGEM
410107;DIÁRIA HOSPITALAR
4103;MÉDICO, DENTISTA E OUTROS 
410301;DENTISTA
410305;MÉDICO
410307;PSICÓLOGO
410309;PLANO E SEGURO SAÚDE 
410319;OUTROS PROFISSIONAIS DE SAÚDE
42;PRODUTOS MÉDICO-ODONTOLÓGICOS 
4201;MEDICAMENTOS EM GERAL 
420105;GASTROPROTETOR
420107;PSICOTRÓPICO E ANOREXÍGENO
420111;ANALGÉSICO E ANTITÉRMICO 
420114;ANTIINFLAMATÓRIO E ANTIBIÓTICO
420115;ANTIGRIPAL E ANTITUSSÍGENO
420116;ANTIALÉRGICO E BRONCODILATADOR
420117;VASODILATADOR PARA PRESSÃO ARTERIAL 
420118;CALMANTE E ANTIDEPRESSIVO 
420123;ANTICONCEPCIONAL 
420125;DERMATOLÓGICO
420126;VITAMINA E FORTIFICANTE
420131;ANTIMICÓTICO E PARASITICIDA
420133;REMÉDIO PARA DIABETE
420135;REMÉDIO PARA OSTEOPOROSE
420137;REMÉDIOS OFTAMOLÓGICOS
4203;APARELHOS MÉDICOS-ODONTOLÓGICOS 
420301;APARELHO DENTÁRIO 
420303;ÓCULOS E LENTES
4205;PRODUTOS FARMACÊUTICOS
420501;ALGODÃO E COTONETE 
420509;PRESERVATIVO E LUBRIFICANTE
43;CUIDADOS PESSOAIS 
4301;ARTIGOS DE HIGIENE E CUIDADO PESSOAL 
430101;ABSORVENTE HIGIÊNICO
430105;ARTIGO DE MAQUILAGEM
430109;CREME DENTAL 
430113;PROTETORES PARA A PELE
430115;DESODORANTE 
430119;ESMALTE PARA UNHA 
430121;FRALDA DESCARTÁVEL
430125;PAPEL HIGIÊNICO 
430127;PERFUME
430131;SABONETE 
430133;SHAMPOO, CONDICIONADOR E CREME
4303;SERVIÇOS DE CUIDADOS PESSOAIS 
430301;BARBEARIA 
430303;SALÃO DE BELEZA 
5;EDUCAÇÃO, LEITURA E RECREAÇÃO 
51;EDUCAÇÃO 
5101;CURSOS FORMAIS 
510101;CURSO DE ENSINO FUNDAMENTAL
510103;CURSO DE ENSINO MÉDIO
510105;CURSO DE ENSINO PRÉ-ESCOLAR
510107;CURSO DE ENSINO SUPERIOR
510153;CURSO DE EDUCAÇÃO INFANTIL (CRECHE)
510155;CURSO DE PÓS-GRADUAÇÃO
5103;CURSOS NÃO FORMAIS 
510303;CURSO DE INFORMÁTICA 
510304;CURSO PREPARATÓRIO - VESTIBULAR/CONCURSO
510305;CURSO DE LÍNGUA ESTRANGEIRA
510307;CURSO DE MÚSICA E DANÇA 
510319;CURSOS DIVERSOS
5105;MATERIAL ESCOLAR E LIVROS EM GERAL
510503;MATERIAL ESCOLAR (EXCLUSIVE LIVROS) 
510513;LIVROS NÃO DIDÁTICOS
510515;LIVROS DIDÁTICOS
52;LEITURA 
5201;JORNAL E REVISTA
520101;JORNAL
520105;REVISTAS EM GERAL
53;RECREAÇÃO 
5301;BRINQUEDOS E ARTIGOS ESPORTIVOS 
530103;BICICLETA 
530107;BONECA
530113;JOGOS PARA RECREAÇÃO
530129;ARTIGOS ESPORTIVOS
5303;INSTRUMENTOS MUSICAIS 
530317;INSTRUMENTO MUSICAL
5305;FOTOGRAFIA 
530505;REVELAÇÃO DE FOTO 
5307;DVD / CD
530755;DVD / CD
5309;SALAS DE ESPETÁCULO 
530903;CINEMA
530905;SHOW MUSICAL 
530907;TEATRO
5311;CULTURA FÍSICA 
531103;ACADEMIA DE GINÁSTICA 
5313;CLUBES E PARQUES 
531301;CLUBE DE RECREAÇÃO
531303;FUTEBOL E OUTROS EVENTOS ESPORTIVOS 
5315;PASSEIOS E FÉRIAS 
531501;HOTEL
531505;PASSAGEM AÉREA
531509;EXCURSÃO E TOUR
6;TRANSPORTES 
61;TRANSPORTE PÚBLICO 
6101;TRANSPORTE PÚBLICO URBANO 
610101;TARIFA DE BARCO E AEROBARCO
610103;TARIFA DE METRÔ
610105;TARIFA DE ÔNIBUS URBANO
610107;TARIFA DE TÁXI
610109;TRANSPORTE ESCOLAR 
610111;TARIFA DE TREM URBANO
610115;TARIFA DE TRANSPORTE DE VAN E SIMILARES
6103;TRANSPORTE PÚBLICO INTERURBANO 
610303;TARIFA DE ÔNIBUS INTERURBANO
62;TRANSPORTE PRÓPRIO 
6201;VEÍCULOS 
620101;AUTOMÓVEL NOVO 
620103;AUTOMÓVEL USADO 
6203;PEÇAS E ACESSÓRIOS 
620309;OUTROS ACESSÓRIOS E PEÇAS PARA AUTOMÓVEIS 
620319;PNEU PARA AUTÓMOVEL
6205;COMBUSTÍVEIS E LUBRIFICANTES 
620501;ETANOL
620503;GASOLINA 
620505;ÓLEO LUBRIFICANTE 
620507;ÓLEO DIESEL 
620509;GÁS NATURAL VEICULAR 
6207;SERVIÇOS DE OFICINA 
620707;SERVIÇO DE REPARO EM AUTOMÓVEL
6209;OUTROS GASTOS COM VEÍCULOS 
620903;LICENCIAMENTO - IPVA
620905;ESTACIONAMENTO E GARAGEM 
620907;LAVAGEM E LUBRIFICAÇÃO 
620909;PEDÁGIO 
620911;SEGURO FACULTATIVO PARA VEÍCULO 
620913;SEGURO OBRIGATÓRIO PARA VEÍCULO 
7;DESPESAS DIVERSAS 
71;FUMO
7103;FUMO E ACESSÓRIOS 
710301;CIGARROS
72;OUTRAS DESPESAS DIVERSAS 
7201;CORREIO E TELEFONE PÚBLICO 
720101;CARTÃO DE TELEFONE 
720105;TARIFA POSTAL
720115;ACESSO À INTERNET EM LOJA
7203;LOTERIAS 
720301;BILHETE LOTÉRICO
720305;JOGO LOTÉRICO
7205;DESPESAS COM ANIMAIS DOMÉSTICOS 
720501;ALIMENTOS PARA ANIMAIS DOMÉSTICOS
720503;CLÍNICA VETERINÁRIA 
7209;SERVIÇOS DIVERSOS 
720901;CARTÓRIO 
720905;SERVIÇO RELIGIOSO E FUNERÁRIO
8;COMUNICAÇÃO
81;SERVIÇOS DE COMUNICAÇÃO
8101;SERVIÇOS DE COMUNICAÇÃO
810101;TARIFA DE TELEFONE RESIDENCIAL
810103;PACOTES DE TELEFONIA FIXA E INTERNET
810105;TARIFA DE TELEFONE MÓVEL
810107;MENSALIDADE PARA TV POR ASSINATURA
810109;MENSALIDADE PARA INTERNET
